nanos, micros, millis, Nnodes, Nedges, source, sink, mincut
1534780 , 1534 , 1 , 70, 6000, 1, 64, 44
3050860 , 3050 , 3 , 130, 10000, 1, 128, 57
6033680 , 6033 , 6 , 260, 20000, 1, 256, 68
6613081 , 6613 , 6 , 520, 50000, 1, 512, 83
31114516 , 31114 , 31 , 1030, 100000, 1, 1024, 82
17585786 , 17585 , 17 , 2050, 200000, 1, 2048, 90
143416555 , 143416 , 143 , 4100, 400000, 1, 4096, 80
55109136 , 55109 , 55 , 8200, 800000, 1, 8172, 88
128100775 , 128100 , 128 , 16400, 1600000, 1, 16344, 86
251965490 , 251965 , 251 , 32800, 3200000, 1, 32688, 93
