nanos, micros, millis, Nnodes, Nedges, source, sink, mincut
1722599 , 1722 , 1 , 70, 6000, 1, 64, 44
8397563 , 8397 , 8 , 130, 10000, 1, 128, 57
40279145 , 40279 , 40 , 260, 20000, 1, 256, 68
1028145 , 1028 , 1 , 520, 50000, 1, 512, 83
1676708756 , 1676708 , 1676 , 1030, 100000, 1, 1024, 82
10784627 , 10784 , 10 , 2050, 200000, 1, 2048, 90
77874955554 , 77874955 , 77874 , 4100, 400000, 1, 4096, 80
154937561 , 154937 , 154 , 8200, 800000, 1, 8172, 88
546999440 , 546999 , 546 , 16400, 1600000, 1, 16344, 86
2059451259 , 2059451 , 2059 , 32800, 3200000, 1, 32688, 93
